Model,Accuracy,Precision,Recall,F1 Score
NO-FILTER (Baseline),0.7316708229426434,0.6958143751565579,0.7316708229426434,0.7016146665966195
Circuit A,0.6788029925187032,0.6104861160950511,0.6788029925187032,0.6322119852133603
Circuit B,0.6892768079800499,0.6216646018389341,0.6892768079800499,0.640757513884843
Circuit C,0.6783042394014963,0.6165366048515902,0.6783042394014963,0.6393728835305782
